Places hoteleres
Municipis. 2023
Font: Idescat, a partir del Departament d'Empresa i Treball.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=turall&n=6031&geo=mun&t=202300
Codi;Nom;Hotels. D'1 estrella;Hotels. De 2 estrelles;Hotels. De 3 estrelles;Hotels. De 4 estrelles;Hotels. De 4 estrelles superior;Hotels. De 5 estrelles;Hotels. Gran luxe;Hotels. Total;Hostals i pensions;Total
250019;Abella de la Conca;0;0;0;0;0;0;0;0;0;0
080018;Abrera;39;0;0;0;0;0;0;39;0;39
250024;Àger;27;30;0;0;0;0;0;57;14;71
250030;Agramunt;18;36;0;0;0;0;0;54;0;54
080023;Aguilar de Segarra;0;0;0;0;0;0;0;0;0;0
170010;Agullana;0;0;0;0;0;0;0;0;0;0
080142;Aiguafreda;0;0;0;0;0;0;0;0;15;15
430017;Aiguamúrcia;8;26;0;0;0;0;0;34;0;34
170025;Aiguaviva;0;0;0;0;0;0;0;0;0;0
250387;Aitona;0;0;0;0;0;0;0;0;0;0
250045;Alamús, els;0;0;0;0;0;0;0;0;0;0
250058;Alàs i Cerc;0;0;29;0;0;0;0;29;0;29
250061;Albagés, l';0;0;0;0;0;0;0;0;0;0
170031;Albanyà;0;0;0;0;0;0;0;0;12;12
250077;Albatàrrec;0;0;0;0;0;0;0;0;0;0
250083;Albesa;0;0;0;0;0;0;0;0;0;0
250096;Albi, l';0;0;0;0;0;0;0;0;0;0
430022;Albinyana;0;0;20;0;0;0;0;20;0;20
430038;Albiol, l';0;0;0;0;0;0;0;0;0;0
170046;Albons;0;0;0;0;0;66;0;66;0;66
430043;Alcanar;0;0;100;0;0;0;0;100;54;154
250100;Alcanó;0;0;0;0;0;0;0;0;0;0
250117;Alcarràs;150;40;0;0;0;0;0;190;0;190
250122;Alcoletge;0;0;0;0;0;0;0;0;0;0
430056;Alcover;86;0;0;0;0;0;0;86;0;86
439044;Aldea, l';0;54;0;0;0;0;0;54;0;54
430069;Aldover;0;0;0;0;0;0;0;0;0;0
430075;Aleixar, l';0;0;0;0;0;0;0;0;0;0
080039;Alella;0;0;0;84;0;0;0;84;0;84
430081;Alfara de Carles;0;0;0;0;0;0;0;0;8;8
250138;Alfarràs;0;0;0;0;0;0;0;0;29;29
250143;Alfés;0;0;0;0;0;0;0;0;0;0
430094;Alforja;0;0;0;0;0;0;0;0;0;0
250156;Algerri;0;0;0;0;0;0;0;0;8;8
250169;Alguaire;25;0;0;0;0;0;0;25;0;25
250175;Alins;0;70;0;0;0;0;0;70;29;99
430108;Alió;0;0;0;0;0;0;0;0;0;0
250194;Almacelles;0;0;0;0;0;0;0;0;0;0
250208;Almatret;0;0;0;0;0;0;0;0;0;0
250215;Almenar;0;0;0;0;0;0;0;0;0;0
430115;Almoster;0;0;0;0;0;0;0;0;0;0
250220;Alòs de Balaguer;0;0;0;0;0;0;0;0;0;0
170062;Alp;49;38;625;475;0;0;0;1187;0;1187
080044;Alpens;0;0;0;0;0;0;0;0;12;12
250236;Alpicat;0;0;0;0;0;0;0;0;0;0
250241;Alt Àneu;0;28;108;0;0;0;0;136;0;136
430120;Altafulla;0;132;0;516;0;0;0;648;0;648
170078;Amer;0;0;0;0;0;0;0;0;34;34
430136;Ametlla de Mar, l';28;71;70;480;0;0;0;649;0;649
080057;Ametlla del Vallès, l';0;0;0;0;0;0;0;0;0;0
439060;Ampolla, l';0;75;0;404;0;0;0;479;0;479
430141;Amposta;0;138;56;17;0;0;0;211;16;227
170084;Anglès;0;0;0;0;0;0;0;0;46;46
250273;Anglesola;0;0;0;0;0;0;0;0;0;0
250292;Arbeca;0;0;0;0;0;0;0;0;18;18
430167;Arboç, l';0;57;0;0;0;0;0;57;0;57
430154;Arbolí;0;0;0;0;0;0;0;0;8;8
170097;Arbúcies;16;0;16;0;0;0;0;32;58;90
080060;Arenys de Mar;0;0;0;49;0;0;0;49;74;123
080076;Arenys de Munt;0;0;0;0;0;0;0;0;0;0
170101;Argelaguer;0;0;0;0;0;0;0;0;0;0
080082;Argençola;0;0;0;0;0;0;0;0;0;0
430173;Argentera, l';0;0;0;0;0;0;0;0;0;0
080095;Argentona;0;0;0;0;0;0;0;0;11;11
170118;Armentera, l';0;0;0;0;0;0;0;0;0;0
430189;Arnes;0;14;0;178;0;0;0;192;16;208
250313;Arres;0;0;0;0;0;0;0;0;0;0
250328;Arsèguel;0;0;0;0;0;0;0;0;12;12
080109;Artés;0;0;0;0;0;0;0;0;0;0
250334;Artesa de Lleida;0;0;0;0;0;0;0;0;0;0
250349;Artesa de Segre;0;0;0;0;0;0;0;0;46;46
430192;Ascó;0;0;0;0;0;0;0;0;0;0
250365;Aspa;0;0;0;0;0;0;0;0;0;0
250371;Avellanes i Santa Linya, les;4;0;0;0;0;0;0;4;10;14
080116;Avià;0;0;0;0;0;0;0;0;36;36
080121;Avinyó;0;0;0;0;0;0;0;0;18;18
170123;Avinyonet de Puigventós;0;0;0;91;0;0;0;91;0;91
080137;Avinyonet del Penedès;0;0;0;14;0;0;0;14;0;14
080155;Badalona;0;19;84;635;0;0;0;738;206;944
089045;Badia del Vallès;0;0;0;0;0;0;0;0;0;0
080168;Bagà;75;0;60;0;0;0;0;135;24;159
250390;Baix Pallars;0;0;0;0;0;0;0;0;0;0
250404;Balaguer;50;72;33;0;0;0;0;155;66;221
080174;Balenyà;0;0;0;0;0;0;0;0;0;0
080180;Balsareny;0;0;0;0;0;0;0;0;0;0
430206;Banyeres del Penedès;0;14;0;0;0;0;0;14;12;26
170157;Banyoles;0;50;0;70;0;0;0;120;43;163
250411;Barbens;0;0;0;0;0;0;0;0;0;0
430213;Barberà de la Conca;0;0;0;0;0;0;0;0;0;0
082520;Barberà del Vallès;0;0;424;476;0;0;0;900;0;900
080193;Barcelona;3491;5131;14495;31189;7988;6380;7286;75960;6510;82470
250426;Baronia de Rialb, la;0;0;16;0;0;0;0;16;0;16
170160;Bàscara;28;0;0;10;0;0;0;38;23;61
250447;Bassella;0;0;0;0;0;0;0;0;6;6
430228;Batea;27;10;0;0;0;0;0;37;0;37
250450;Bausen;0;0;0;0;0;0;0;0;0;0
080207;Begues;0;0;0;0;0;0;0;0;0;0
170139;Begur;84;44;240;695;20;0;0;1083;12;1095
250463;Belianes;0;0;0;0;0;0;0;0;0;0
251706;Bellaguarda;0;0;0;0;0;0;0;0;0;0
170182;Bellcaire d'Empordà;0;0;0;0;0;0;0;0;0;0
250479;Bellcaire d'Urgell;0;0;0;0;0;0;0;0;0;0
250485;Bell-lloc d'Urgell;0;0;0;0;0;0;0;0;0;0
250498;Bellmunt d'Urgell;0;0;0;0;0;0;0;0;0;0
430234;Bellmunt del Priorat;0;0;0;0;0;0;0;0;7;7
